Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
18-021411,2018-09,05/13/2018 18:30,Y, , ,1, , 42014,3,ASSLT-AGGRV-KNIFE/CUT-1ST-ADULT-DOMESTIC,3160,S COMPTON AVE,25, , ,3160,COMPTON,895796.2,1007305
18-044699,2018-09,05/14/2018 09:30,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,8442,N BROADWAY,74, , ,8442,BROADWAY,897472.3,1049862
18-022923,2018-09,05/16/2018 12:00,Y, , ,1, ,242000,4,DISORDERLY CONDUCT-HARRASSMENT (IF NO THREAT I,1114,MARKET ST,35, ,WARRANT OFFICE,1320,MARKET,906569.1,1017219
18-045616,2018-09,05/20/2018 12:38,Y, , ,1, , 67701,6,LARCENY-FROM BUILDING UNDER $500,4467,ANDERSON AVE,69, , ,4467,ANDERSON,896323.8,1035757
18-044367,2018-09,05/22/2018 08:00,Y, , ,1, , 51322,3,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,1621,S TUCKER BLVD,33, , ,1521,TUCKER,904268.6,1012199
18-043238,2018-09,05/26/2017 21:00,Y, , ,1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3324,CALIFORNIA AVE,30, , ,3924,CALIFORNIA,897529.1,1005563
18-043238,2018-09,05/26/2017 21:00, , , ,-1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3324,CALIFORNIA AVE,30, , ,3924,CALIFORNIA,897529.1,1005563
18-023972,2018-09,05/28/2018 00:01, , , ,1, , 43021,6,AGG.ASSAULT-OTH DANG WEP/CTZEN CHLD 1ST DEGREE,4446,LABADIE,56, , ,4446,LABADIE,0,0
18-045455,2018-09,05/28/2018 11:24,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1225,UNION BLVD,48, ,@WALGREENS - 1225 UNION,1225,UNION,885132.9,1029391
18-023964,2018-09,05/28/2018 22:15, , , ,-1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,8466,CONCORD,74, , ,8466,CONCORD,0,0
18-045632,2018-09,05/30/2018 14:00,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,6212,NOTTINGHAM AVE,8, , ,6212,NOTTINGHAM,878486.7,1002391
18-046847,2018-09,05/31/2018 16:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,0,CARRIE AVE / ROSALIE ST,69, , , , ,897658.6,1036615
18-042389,2018-09,06/01/2014 21:00,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,0,VERNON AVE / WALTON AVE,54, , ,8400,BROADWAY,0,0
18-043404,2018-09,06/01/2018 09:00,Y, , ,1, ,121000,1,EMBEZZLEMENT-VALUE OVER $150,4930,CHRISTY BLVD,5, ,@DOLLAR GENERAL,4930,CHRISTY,884082.3,1001677
18-043810,2018-09,06/01/2018 12:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,4920,PALM ST,55, , ,4920,PALM,891368.3,1034573
18-042996,2018-09,06/05/2018 14:30,Y, , ,1, , 69702,4,LARCENY-ALL OTHER UNDER $500,2320,ST LOUIS AVE,60, , ,2320,ST LOUIS,903565.3,1026379
18-027153,2018-09,06/09/2018 18:00, , , ,-1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",3802, ,15, , ,3802,GRAVOIS,0,0
18-046790,2018-09,06/11/2018 08:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1100,N 9TH ST,62, ,NUISANCE ABATMENT PROPERTY,1100,9TH,908442.5,1020385
18-026447,2018-09,06/11/2018 11:00, , , ,-1, , 67701,3,LARCENY-FROM BUILDING UNDER $500,3710, ,18, , ,3710,KOSCIUSKO,0,0
18-045448,2018-09,06/12/2018 10:20,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,702,N KINGSHIGHWAY BLVD,53, , ,702,KINGSHIGHWAY,888036.9,1026405
18-045445,2018-09,06/12/2018 15:44,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3431,UNION BLVD,50, ,@SCHNUCKS - CITY PLAZA ON UNION,3431,UNION,888884.8,1036000
18-045974,2018-09,06/14/2018 14:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3114,FRANKLIN AVE,59, ,NUISANCE ABATEMENT PROPERTY,3114,FRANKLIN,899509.6,1021943
18-045803,2018-09,06/17/2018 12:40,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3710,N GRAND BLVD,67, ,NUISANCE ABATEMENT PROPERTY,3710,GRAND,901258.3,1029801
18-041762,2018-09,06/18/2018 11:25,Y, , ,1, ,112010,2,FRAUD-CREDIT DEVICE/OVER $150,3730,HUMPHREY ST,15, , ,3730,HUMPHREY,892621.4,1006807
18-046794,2018-09,06/18/2018 17:00,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3868,DR MARTIN LUTHER KING DR,77, ,NUISANCE ABATEMENT PROPERTY,3868,DR MARTIN LUTHER KING,896742,1025805
18-046010,2018-09,06/20/2018 05:25,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,718,CARR ST,62, ,NUISANCE ABATEMENT PROPERTY,718,CARR,908863.7,1020101
18-045446,2018-09,06/20/2018 06:20,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3431,UNION BLVD,50, ,@SCHNUCKS - CITY PLAZA ON UNION,3431,UNION,888884.8,1036000
18-042134,2018-09,06/20/2018 10:15,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3751,S JEFFERSON AVE,19, , ,3751,JEFFERSON,898162.7,1002525
18-045788,2018-09,06/20/2018 22:03,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,721,N TUCKER BLVD,36, ,NUISANCE ABATEMENT PROPERTY,721,TUCKER,906857.6,1019492
18-046018,2018-09,06/23/2018 11:20,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1407,N 9TH ST,62, ,NUISANCE ABATEMENT PROPERTY,1407,9TH,908777.9,1021690
18-045984,2018-09,06/26/2018 08:30,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1212,N 8TH ST,62, ,NUISANCE ABATEMENT PROPERTY,1212,8TH,908854.8,1020688
18-046138,2018-09,06/26/2018 09:48,Y, , ,1, , 69702,1,LARCENY-ALL OTHER UNDER $500,4333,NEBRASKA AVE,17, , ,4333,NEBRASKA,895360.9,999802.9
18-041773,2018-09,06/26/2018 14:35,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
18-029259,2018-09,06/26/2018 16:36,Y, , ,1, , 42014,1,ASSLT-AGGRV-KNIFE/CUT-1ST-ADULT-DOMESTIC,4671,ALASKA AVE,16, , ,4671,ALASKA,892824.5,997787.2
18-043995,2018-09,06/27/1999 00:01,Y, , ,1, , 23000,5,RAPE-ATTEMPT FORCIBLE RAPE/FORCIBLE INCEST,4700,NEWBERRY TER,54, , ,1500,COCHRAN,0,0
18-044095,2018-09,06/28/2018 08:00,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3653,BATES ST,3, , ,3653,BATES,889955.6,996379.8
18-045792,2018-09,06/28/2018 21:15,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,721,N TUCKER BLVD,36, ,NUISANCE ABATEMENT PROPERTY,721,TUCKER,906857.6,1019492
18-045578,2018-09,06/29/2017 12:00,Y, , ,1, ,112010,5,FRAUD-CREDIT DEVICE/OVER $150,5248,MAFFITT AVE,52, , ,5248,MAFFITT,888148.2,1033575
18-046619,2018-09,06/29/2018 09:59,Y, , ,1, ,115400,1,STLG BY DECEIT/IDENTITY THEFT REPORT,4439,OSCEOLA ST,5, , ,4439,OSCEOLA,886279.1,1003572
18-045648,2018-09,06/30/2018 08:00,Y, , ,1, , 69702,6,LARCENY-ALL OTHER UNDER $500,8308,DICKMAN PARK RD,74, , ,8308,DICKMAN PARK,896747.6,1048507
18-041515,2018-09,06/30/2018 12:00,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",6019,ARTHUR AVE,9, , ,6019,ARTHUR,879399.1,1007895
18-043047,2018-09,07/01/2018 12:00,Y, , ,1, , 21000,4,RAPE -- FORCIBLE,1200,N 8TH ST,62, , ,1200,8TH,0,0
18-036550,2018-09,07/02/2018 09:30, , , ,-1, , 71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3401,WATSON,9, , , , ,0,0
18-030365,2018-09,07/02/2018 21:00, , , ,-1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3009,PENNSYLVANIA,25, , ,3009,PENNSYLVANIA,0,0
18-046639,2018-09,07/06/2017 12:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,1217,GIMBLIN ST,74, , ,1600,WASHINGTON,895582.6,1048898
18-045613,2018-09,07/07/2018 13:15,Y, , ,1, ,103000,3,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,3004,MIAMI ST,19, , ,3004,MIAMI,896088.8,1003959
18-043797,2018-09,07/08/2018 14:02,Y, , ,1, ,264100,6,HEALTH-SANITATION VIOL,8570,LOWELL ST,74, , ,8570,LOWELL,898007.3,1051150
18-042793,2018-09,07/10/2018 12:00,Y, , ,1, ,115100,6,FRAUD-STEALING BY DECEIT/OVER $150,3901,UNION BLVD,70, , ,3901,UNION,888927.9,1037383
18-040902,2018-09,07/12/2018 13:30, , , ,-1, , 72113,3,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,1427,3RD,20, , ,1427,3RD,0,0
18-042802,2018-09,07/13/2018 16:57,Y, , ,1, ,264100,5,HEALTH-SANITATION VIOL,5567,GREER AVE,50, , ,5567,GREER,886425.3,1036437
18-044793,2018-09,07/15/2018 12:00,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,3330,FRANKLIN AVE,77, , ,3330,FRANKLIN,898673.6,1022154
18-046807,2018-09,07/16/2018 20:35,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,922,CASS AVE,62, ,NUISANCE ABATEMENT PROPERTY,922,CASS,908829.5,1022111
18-042167,2018-09,07/17/2018 12:00,Y, , ,1, , 51122,6,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,4521,RED BUD AVE,68, , ,4521,RED BUD,898926.2,1035345
18-042305,2018-09,07/18/2018 10:00,Y, , ,1, ,209999,5,FAMILY & CHILD CRIME-OTHR UNSPEC FAM/CHILD OFF,5461,DELMAR BLVD,49, , ,5461,DELMAR,883561.5,1027076
18-041088,2018-09,07/18/2018 15:10,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5750,NATURAL BRIDGE AVE,50, , ,5750,NATURAL BRIDGE,885556.4,1038533
18-044582,2018-09,07/19/2018 00:10,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3314,TEXAS AVE,30, , ,3314,TEXAS,898500.3,1005491
18-045005,2018-09,07/20/2018 19:35,Y, , ,1, , 21000,2,RAPE -- FORCIBLE,4100,POTOMAC ST,15, , ,4100,POTOMAC,0,0
18-042472,2018-09,07/21/2018 00:01,Y, , ,1, , 44024,5,ASLT-AGGRV-HND/FST/FT-1ST-CHILD-DOMESTIC,4535,MCMILLAN AVE,54, , ,4535,MCMILLAN,890940.5,1026838
18-042472,2018-09,07/21/2018 00:01,Y, , ,1, , 44024,5,ASLT-AGGRV-HND/FST/FT-1ST-CHILD-DOMESTIC,4535,MCMILLAN AVE,54, , ,4535,MCMILLAN,890940.5,1026838
18-041799,2018-09,07/22/2018 15:07,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3640,KOSCIUSKO ST,18, , ,3640,KOSCIUSKO,901146.1,1002759
18-043237,2018-09,07/23/2018 00:55,Y, , ,1, , 31111,4,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,400,S 4TH ST,35, , ,919,JEFFERSON,908773.6,1015570
18-033944,2018-09,07/23/2018 17:35,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,5805,NATURAL BRIDGE AVE,70, ,COAST TO COAST,5805,NATURAL BRIDGE,885420.1,1038914
18-044734,2018-09,07/23/2018 18:00,Y, , ,1, ,117000,2,FAILURE TO RETURN BORROWED/RENTED VEHICL,1641,S KINGSHIGHWAY BLVD,12,@UHAUL, ,1641,KINGSHIGHWAY,886712.8,1014540
18-041793,2018-09,07/24/2018 05:48,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1118,GRATTAN ST,33, , ,1118,GRATTAN,903626.3,1014228
18-038217,2018-09,07/24/2018 12:00,Y, , ,1, ,112010,6,FRAUD-CREDIT DEVICE/OVER $150,4014,UNION BLVD,70, , ,4014,UNION,890074.4,1037079
18-034262,2018-09,07/25/2018 16:58,Y, , ,1, , 82000,6,ARSON-2ND DEGREE/SUCCESS,8320,CHURCH RD,74, , ,8320,CHURCH,896537.3,1048668
18-044589,2018-09,07/26/2018 01:52,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1314,GRAVOIS AVE,21, , ,1314,GRAVOIS,902707.6,1010535
18-044715,2018-09,07/26/2018 19:05,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2600,CHOUTEAU AVE,31, ,@QT - JEFFERSON / CHOUTEAU,2600,CHOUTEAU,900507.7,1015458
18-034567,2018-09,07/27/2018 09:26,Y, , ,1, , 81000,3,ARSON-1ST DEGREE/SUCCESS,1200,ALLEN MARKET LN,21, , ,1200,ALLEN MARKET,903328.2,1010451
18-034634,2018-09,07/27/2018 16:06,Y, , ,1, ,142310,6,DESTRUCTION OF PROPERTY-MALICIOUS/PUBLIC PROP,7600,HALL ST,79, ,@WORKHOUSE,7600,HALL,899461.2,1045874
18-044597,2018-09,07/30/2018 02:15,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2607,GRAVOIS AVE,24, , ,2607,GRAVOIS,899242.4,1009280
18-035107,2018-09,07/30/2018 09:45,Y, , ,1, ,152200,4,WEAPONS-CITY VIOL/DISCHRGING IN CITY,3521,N 20TH ST,65, , , , ,905222.6,1028933
18-043005,2018-09,07/31/2018 17:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,2301,GRAVOIS AVE,23, , ,2301,GRAVOIS,899702.9,1009555
18-042171,2018-09,08/01/2018 00:01,Y, , ,1, , 43025,4,ASSLT-AGGRAV-OTH-WPN-2ND-CHILD-DOMESTIC,1212,N 8TH ST,62, , ,1212,8TH,908854.8,1020688
18-043291,2018-09,08/01/2018 00:01,Y, , ,1, , 51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,5414,MICHIGAN AVE,1, ,DOWNSTARES,5414,MICHIGAN,893479.1,994554.9
18-044931,2018-09,08/01/2018 07:00,Y, , ,1, , 69602,4,"LARCENY-ALL OTHER $500 - $24,999",3814,SULLIVAN AVE,59, , ,3814,SULLIVAN,899258.3,1029202
18-036195,2018-09,08/01/2018 10:00,Y, , ,1, , 21000,6,RAPE -- FORCIBLE,4500,ASHLAND AVE,56, , ,4500,ASHLAND,0,0
18-042861,2018-09,08/01/2018 12:00,Y, , ,1, , 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,6311,SHERRY AVE,76, , ,6311,SHERRY,887975.5,1045100
18-035802,2018-09,08/02/2018 15:40,Y, , ,1, , 91114,4,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",1434,HOGAN ST,61, , ,1434,HOGAN,905305.6,1022738
18-040630,2018-09,08/02/2018 17:05,Y, , ,1, ,115100,3,FRAUD-STEALING BY DECEIT/OVER $150,1314,GRAVOIS AVE,21, , ,1314,GRAVOIS,902707.6,1010535
18-035912,2018-09,08/03/2018 01:00, , , ,-1, , 31111,1,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL,5543,GRACE,3, , , , ,0,0
18-043954,2018-09,08/03/2018 06:00,Y, , ,1, , 67601,1,"LARCENY-FROM BUILDING $500 - $24,999",215,E SCHIRMER ST,2, , ,215,SCHIRMER,889663.3,987744.2
18-041927,2018-09,08/03/2018 19:55,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1199,RIVERVIEW BLVD,74, , ,1199,RIVERVIEW,894567,1052209
18-044764,2018-09,08/04/2018 14:15,Y, , ,1, ,264100,3,HEALTH-SANITATION VIOL,3837,NEBRASKA AVE,16, , ,3837,NEBRASKA,896144.6,1002266
18-036152,2018-09,08/04/2018 16:30,Y, , ,1, , 91113,5,SIMPLE ASSAULT-ADULT/NO INJURY,6177,DELMAR BLVD,46, ,@HOTEL- MOONRISE MOTEL,6197,DELMAR,877404.6,1027557
18-040986,2018-09,08/05/2018 12:00, , , ,1, , 51311,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/OCCUPIED,4515,ALICE,68, , , , ,0,0
18-040986,2018-09,08/05/2018 12:00, , , ,-1, , 91113,6,SIMPLE ASSAULT-ADULT/NO INJURY,4515,ALICE,68, , , , ,0,0
18-036408,2018-09,08/06/2018 04:00,Y, , ,1, , 81000,5,ARSON-1ST DEGREE/SUCCESS,0,RIDGE AVE,78, , ,5929,RIDGE,881858.6,1033244
18-036410,2018-09,08/06/2018 06:30,Y, , ,1, , 91113,4,SIMPLE ASSAULT-ADULT/NO INJURY,116,N 6TH ST,35, ,@BREAD COMPANY- 6TH,1915,OLIVE,908732.9,1017197
18-037777,2018-09,08/06/2018 07:00, , , ,1, , 69602,1,"LARCENY-ALL OTHER $500 - $24,999",4192,MERAMEC,5, , , , ,0,0
18-037777,2018-09,08/06/2018 07:00, , , ,-1, , 95200,1,AGGRAVATED STALKING (THREAT OF DEATH OR SERIOU,4192,MERAMEC,5, , , , ,0,0
18-042137,2018-09,08/06/2018 08:00,Y, , ,1, , 69702,2,LARCENY-ALL OTHER UNDER $500,1546,FAIRMOUNT AVE,43, , ,1546,FAIRMOUNT,877439.6,1016255
18-045424,2018-09,08/06/2018 09:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,5524,RIVERVIEW BLVD,72, , , , ,891320.4,1045598
18-042323,2018-09,08/06/2018 12:00,Y, , ,1, , 51312,1,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,7011,S BROADWAY,1, , ,7011,BROADWAY,890660.7,989800.1
18-043643,2018-09,08/06/2018 19:14,Y, , ,1, ,264100,3,HEALTH-SANITATION VIOL,2913,WYOMING ST,30, , ,2913,WYOMING,896777.3,1006716
18-042250,2018-09,08/06/2018 22:56,Y, , ,1, , 67701,5,LARCENY-FROM BUILDING UNDER $500,320,N SKINKER BLVD,46, , ,320,SKINKER,877276.6,1025797
18-036660,2018-09,08/07/2018 00:01,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT,4819,CUPPLES PL,55, , ,4819,CUPPLES,890698.1,1031741
18-044608,2018-09,08/07/2018 12:00,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,4320,S KINGSHIGHWAY BLVD,5, , ,4320,KINGSHIGHWAY,884717.8,1003513
18-036761,2018-09,08/07/2018 14:00,Y, , ,1, , 91114,1,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4720,S BROADWAY,17, , ,4020,BROADWAY,895912.1,996407
18-045583,2018-09,08/07/2018 14:00,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4720,S BROADWAY,17,RIVERBEND, ,4720,BROADWAY,895912.1,996407
18-037091,2018-09,08/09/2018 08:00,Y, , ,1, ,103000,5,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,2747,GOODFELLOW BLVD,50,PRICE CHOPPER, ,2747,GOODFELLOW,884252.7,1035834
18-043424,2018-09,08/09/2018 12:55,Y, , ,1, ,103000,2,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT,3838,FLORA PL,27, , ,3838,FLORA,893205.1,1011919
18-037156,2018-09,08/09/2018 17:30,Y, , ,1, , 64601,5,"LARCENY-FROM MTR VEH $500 - $24,999",0,DELMAR BLVD / WHITTIER ST,38, , , , ,892896.8,1024441
18-041838,2018-09,08/09/2018 20:08,Y, , ,1, ,112020,5,FRAUD-CREDIT DEVICE/UNDER $150,4171,LINDELL BLVD,38, ,@SCHNUCKS - SARAH AND LINDELL,4171,LINDELL,892104.8,1022153
17-039533,2018-09,08/10/2017 21:30, , , ,1, , 72113,6,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR,4462,FLORISS,69, , ,4462,FLORISS,0,0
17-039533,2018-09,08/10/2017 21:30, , , ,-1, , 72130,6,AUTO THEFT-TRUCK/PERM RETNT/JOY RIDE,4462,FLORISS,69, , ,4462,FLORISS,0,0
18-042869,2018-09,08/10/2018 16:00,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,601,CLARK AVE,35, ,@BALLPARK VILLAGE,601,CLARK,908223.8,1016086
18-044967,2018-09,08/11/2018 02:30,Y, , ,1, , 67701,6,LARCENY-FROM BUILDING UNDER $500,6124,N BROADWAY,79, ,LOVES GAS STATION,6124,BROADWAY,900558.8,1038456
18-043196,2018-09,08/12/2018 12:01,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,1,MULLANPHY ST,64,CENTER POINT TERMINAL, ,100,MULLANPHY,911224.3,1022679
18-041965,2018-09,08/12/2018 12:10,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2754,MERAMEC ST,17, , ,2754,MERAMEC,896586.4,999866.4
