Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
18-035727,2018-08,05/12/2018 10:00,Y, , ,1, , 65701,6,LARCENY-MTR VEH PARTS UNDER $500,4231,N GRAND BLVD,67,JUBILEE CHRISTIAN DEVELOPMENT CORP, ,4231,GRAND,902309.9,1032129
18-035549,2018-08,05/22/2013 00:01,Y, , ,1, , 21000,3,RAPE -- FORCIBLE,2600,OREGON AVE,24, , ,2600,OREGON,0,0
18-022983,2018-08,05/22/2018 18:00,Y, , ,1, , 91114,6,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC",4014,UNION BLVD,70, ,@NPD,4014,UNION,890074.4,1037079
18-040348,2018-08,05/22/2018 18:43,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,721,N TUCKER BLVD,36, , ,721,TUCKER,906857.6,1019492
18-036446,2018-08,05/24/2018 18:16,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4125,CAMELLIA AVE,69, , ,4125,CAMELLIA,895444.1,1034830
18-037807,2018-08,05/27/2018 11:00,Y, , ,1, , 71013,3,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,2863,S JEFFERSON AVE,30, , ,2863,JEFFERSON,899035,1007943
18-039156,2018-08,06/01/2018 00:01,Y, , ,1, ,179210,3,SEX OFFNS-CHILD MOLESTATION-FIRST DEGREE,3500,MIAMI ST,19, , ,3500,MIAMI,0,0
18-036941,2018-08,06/01/2018 08:00,Y, , ,1, , 51322,5,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,5166,ENRIGHT AVE,51, , ,5166,ENRIGHT,886089.2,1026710
18-036486,2018-08,06/01/2018 09:00,Y, , ,1, , 69702,3,LARCENY-ALL OTHER UNDER $500,3463,POTOMAC ST,19, , ,3463,POTOMAC,893989.3,1005119
18-041374,2018-08,06/01/2018 10:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,3154,HALLIDAY AVE,25, , ,3154,HALLIDAY,896003.9,1008966
18-035671,2018-08,06/01/2018 13:00,Y, , ,1, , 67601,6,"LARCENY-FROM BUILDING $500 - $24,999",5068,W FLORISSANT AVE,71, , ,1405,PINE,894982.6,1041232
18-041098,2018-08,06/01/2018 14:45,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1225,UNION BLVD,48, ,@WALGREENS - 1225 UNION,1225,UNION,885132.9,1029391
18-033050,2018-08,06/01/2018 17:00,Y, , ,1, , 21000,5,RAPE -- FORCIBLE,5100,COTE BRILLIANTE AVE,52, , ,5100,COTE BRILLIANTE,0,0
18-036652,2018-08,06/02/2018 20:07,Y, , ,1, , 63601,3,"LARCENY-SHOPLIFT $500 - $24,999",2851,GRAVOIS AVE,24, ,@QT - GRAVOIS / NEBRASKA, , ,897916.5,1008451
18-037502,2018-08,06/03/2018 20:00,Y, , ,1, , 67601,2,"LARCENY-FROM BUILDING $500 - $24,999",6747,HOFFMAN AVE,10, , ,6747,HOFFMAN,876018,1010915
18-025552,2018-08,06/06/2018 10:50,Y, , ,1, , 41016,1,ASSLT-AGGRAV-FIREARM-3RD-ADULT-DOMESTIC,4606,ADKINS AVE,5, , ,4606,ADKINS,888284.3,1001039
18-035368,2018-08,06/12/2018 00:01,Y, , ,1, , 44026,5,ASLT-AGGRV-HND/FST/FT-3RD-CHILD-DOMESTIC,4490,WEST PINE BLVD,38, ,@WEST PINE APTS,4490,WEST PINE,889270.1,1022184
18-037578,2018-08,06/12/2018 11:03,Y, , ,1, ,117000,3,FAILURE TO RETURN BORROWED/RENTED VEHICL,1424,S 13TH ST,33, , ,1424,13TH,904482.6,1012934
18-040334,2018-08,06/13/2018 10:30,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,6105,ETZEL AVE,48, , ,6105,ETZEL,879425.1,1031441
18-038056,2018-08,06/14/2018 00:01,Y, , ,1, ,205000,4,FAMILY & CHILD CRIME-CHILD ABUSE,3863,SULLIVAN AVE,59, , ,3863,SULLIVAN,898919.3,1029613
18-036897,2018-08,06/14/2018 13:17,Y, , ,1, ,111110,3,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,2115,GRAVOIS AVE,22,HERMAN FENDER WORKS INC, ,2115,GRAVOIS,900454.7,1009853
18-037101,2018-08,06/15/2018 12:33,Y, , ,1, ,111110,1,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150,940,LOUGHBOROUGH AVE,1,GREAT SOUTHERN BANK,GREAT SOUTHERN BANK,940,LOUGHBOROUGH,888710.9,991871.2
18-036084,2018-08,06/15/2018 21:00,Y, , ,1, , 69602,6,"LARCENY-ALL OTHER $500 - $24,999",4673,ELMBANK AVE,56, , ,4673,ELMBANK,892856.5,1033012
18-027480,2018-08,06/16/2018 06:00,Y, , ,1, , 91113,1,SIMPLE ASSAULT-ADULT/NO INJURY,6100,S BROADWAY,1, , ,6100,BROADWAY,893026.4,992107.8
18-040136,2018-08,06/17/2018 09:55,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5453,DELMAR BLVD,49, , ,5453,DELMAR,883561.5,1027076
18-036451,2018-08,06/17/2018 18:40,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,5000,UNION BLVD,71, , ,5000,UNION,892272.6,1040231
18-030797,2018-08,06/18/2018 10:34,Y, , ,1, ,111200,2,FRAUD-BAD CHECK/NO ACCOUNT,6487,MANCHESTER AVE,43, , ,6487,MANCHESTER,878180.7,1014948
18-040134,2018-08,06/18/2018 13:20,Y, , ,1, ,266999,5,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4949,DR MARTIN LUTHER KING DR,55, , ,4949,DR MARTIN LUTHER KING,888784.6,1030280
18-028003,2018-08,06/19/2018 22:50, , , ,1, , 41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE, , ,62, , , , ,0,0
18-028003,2018-08,06/19/2018 22:50, , , ,-1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP, , ,62, , , , ,0,0
18-041729,2018-08,06/20/2018 07:00,Y, , ,1, , 65701,2,LARCENY-MTR VEH PARTS UNDER $500,3350,MORGANFORD RD,15, , ,3350,MORGANFORD,888465,1006407
18-037058,2018-08,06/20/2018 08:58,Y, , ,1, ,113000,1,FRAUD-DEFRAUDING SECURED CREDITOR,940,LOUGHBOROUGH AVE,1,GREAT SOUTHERN BANK,GREAT SOUTHERN BANK,940,LOUGHBOROUGH,888710.9,991871.2
18-041134,2018-08,06/20/2018 12:34,Y, , ,1, , 92000,5,SIMPLE ASSAULT-HARRASSMENT,4130,LINDELL BLVD,38,PLACES FOR PEOPLE, ,4130,LINDELL,892472.1,1021895
18-028164,2018-08,06/20/2018 12:51,Y, , ,1, ,175500,4,SEX OFFNS-SX MISCONDUCT/FIRST,3800,ENRIGHT,77,ST.LOUIS FAMILY COURT,@JUVI BLDING, , ,0,0
18-039396,2018-08,06/21/2018 22:00,Y, , ,1, , 51322,6,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,858,RIVER RUN CT,75, ,APT 102,858,RIVER RUN,899139.6,1054494
18-039721,2018-08,06/22/2018 18:30,Y, , ,1, , 64701,5,LARCENY-FROM MTR VEH UNDER $500,6161,DELMAR BLVD,46,PAGEANT PARKING LOT, ,6161,DELMAR,877404.6,1027557
18-029648,2018-08,06/23/2018 06:30,Y, , ,1, , 21000,2,RAPE -- FORCIBLE,3600,CHIPPEWA ST,15, , ,1900,OLIVE,0,0
18-038376,2018-08,06/24/2018 02:30,Y, , ,1, ,266510,5,PUBLIC ORDER-TRESPASSING,27,MARYLAND PLZ,38, , ,27,MARYLAND,888098.3,1023746
18-036454,2018-08,06/24/2018 17:05,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3720,N KINGSHIGHWAY BLVD,69, , ,3720,KINGSHIGHWAY,891316,1035410
18-030407,2018-08,06/25/2018 08:00,Y, , ,1, , 51312,6,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED,6015,HARNEY AVE,76, , ,6015,HARNEY,890524.7,1046241
18-028971,2018-08,06/25/2018 10:30,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP,4680,KOSSUTH AVE,69, ,RESIDENCE,4800,ANDERSON,894008.3,1035333
18-037088,2018-08,06/25/2018 13:00,Y, , ,1, , 69602,1,"LARCENY-ALL OTHER $500 - $24,999",3663,ROSWELL AVE,4, , ,3663,ROSWELL,887045,991963.8
18-038483,2018-08,06/25/2018 17:30,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,7004,PENNSYLVANIA AVE,1, , ,7004,PENNSYLVANIA,890574.8,989938.6
18-035610,2018-08,06/26/2018 17:45,Y, , ,1, , 42012,6,AGG.ASSAULT-KNIFE/CITIZEN ADULT 2ND DEGREE,4126,W FLORISSANT AVE,68, , ,4014,UNION,900142.6,1034662
18-038976,2018-08,06/26/2018 17:45,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,7004,PENNSYLVANIA AVE,1, , ,7004,PENNSYLVANIA,890574.8,989938.6
18-036496,2018-08,06/26/2018 22:30,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3515,CLAY AVE,56, , ,3515,CLAY,897846.9,1030692
18-036499,2018-08,06/28/2018 02:26,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3524,N KINGSHIGHWAY BLVD,55, ,@WHITE CASTLE - N KINGSHIGHWAY,3524,KINGSHIGHWAY,891147.3,1035041
18-038980,2018-08,06/28/2018 11:40,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4101,GRAVOIS AVE,16, ,@QT - GRAVOIS / CHIPPEWA,4101,GRAVOIS,889849,1003566
18-037096,2018-08,06/28/2018 14:30,Y, , ,1, , 67601,1,"LARCENY-FROM BUILDING $500 - $24,999",7320,YATES ST,4, , ,7320,YATES,884276.7,992875.8
18-029712,2018-08,06/29/2018 07:30,Y, , ,1, ,130000,6,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",8430,HALL ST,79, ,GAS STATION,8430,HALL,898344.4,1050289
18-029722,2018-08,06/29/2018 09:41,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT,0,ADELAIDE AVE / I 70 EASTBOUND,66,I-70 EASTBOUND, , , ,902602.9,1036399
18-039856,2018-08,06/30/2018 13:00,Y, , ,1, , 51322,5,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED,6173,WATERMAN BLVD,46, , ,6133,WATERMAN,877524.3,1025978
18-039511,2018-08,07/01/2018 00:01,Y, , ,1, , 65701,5,LARCENY-MTR VEH PARTS UNDER $500,4014,ST LOUIS AVE,56, , ,4014,ST LOUIS,897373.8,1028983
18-039258,2018-08,07/01/2018 10:00,Y, , ,1, , 65701,4,LARCENY-MTR VEH PARTS UNDER $500,3114,FRANKLIN AVE,59, , ,3114,FRANKLIN,899509.6,1021943
18-036659,2018-08,07/01/2018 12:00,Y, , ,1, ,115400,6,STLG BY DECEIT/IDENTITY THEFT REPORT,5269,ROBIN AVE,72, , ,5269,ROBIN,891142.7,1044102
18-040443,2018-08,07/01/2018 12:00,Y, , ,1, , 65701,1,LARCENY-MTR VEH PARTS UNDER $500,6308,VIRGINIA AVE,1, , ,6308,VIRGINIA,891429.1,992521.2
18-036480,2018-08,07/02/2018 07:50,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1201,N LEONARD AVE,77, ,NUISANCE ABATEMENT PROPERTY,1201,LEONARD,898774.8,1023655
18-036550,2018-08,07/02/2018 09:30,Y, , ,1, , 71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,3401,WATSON RD,9, , , , ,877369.7,1007815
18-036916,2018-08,07/02/2018 16:27,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4511,ALICE AVE,68, , ,4511,ALICE,899700.4,1034108
18-030533,2018-08,07/02/2018 18:30, , , ,-1, , 67701,3,LARCENY-FROM BUILDING UNDER $500,3227,INDIANA,22, , ,3227,INDIANA,0,0
18-041779,2018-08,07/02/2018 19:20,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3430,S GRAND BLVD,25, ,@SCHNUCKS- S GRAND AND GRAVOIS,3430,GRAND,893788.8,1005469
18-030633,2018-08,07/03/2018 20:30, , , ,-1, , 71013,2,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR,4011,HARTFORD,15, , ,4011,HARTFORD,0,0
18-036490,2018-08,07/03/2018 21:35,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,3407,FRANKLIN AVE,77, ,NUISANCE ABATEMENT PROPERTY,3407,FRANKLIN,898188.9,1022281
18-037992,2018-08,07/04/2018 09:00,Y, , ,1, , 67701,3,LARCENY-FROM BUILDING UNDER $500,3725,OHIO AVE,19, , ,3725,OHIO,897575.9,1002873
18-036443,2018-08,07/04/2018 21:03,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4660,CHIPPEWA ST,5, , ,4660,CHIPPEWA,885362.3,1003846
18-038996,2018-08,07/05/2018 11:05,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4101,GRAVOIS AVE,16, ,@QT - GRAVOIS / CHIPPEWA,4101,GRAVOIS,889849,1003566
18-035016,2018-08,07/05/2018 12:00,Y, , ,1, , 21000,1,RAPE -- FORCIBLE,3700,CARONDELET BLVD,4, , ,3700,CARONDELET,0,0
18-039426,2018-08,07/05/2018 14:07,Y, , ,1, ,141100,0,DESTRUCTION OF PROPERTY-TAMPERING,8354,ARCHER AVE,0, , ,919,JEFFERSON,862173.8,1035375
18-030841,2018-08,07/05/2018 14:45,Y, , ,1, ,261320,3,EXPLOSIVES-POSSESSION OF BOMB,3721,S JEFFERSON AVE,19, , ,3721,JEFFERSON,898205.1,1002797
18-031173,2018-08,07/05/2018 16:30,Y, , ,1, , 51122,6,BURGLARY-RESIDENCE/DAY/UNLAW ENT/UNOCCUPIED,5833,SALOMA AVE,72,VACANT RESIDENCE, ,5833,SALOMA,889129.8,1043307
18-036912,2018-08,07/05/2018 19:00,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,4126,W FLORISSANT AVE,68, , ,4126,FLORISSANT,900142.6,1034662
18-036670,2018-08,07/05/2018 19:45,Y, , ,1, ,266999,6,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,8960,RIVERVIEW BLVD,74, , ,8960,RIVERVIEW,894481.3,1051455
18-036667,2018-08,07/05/2018 23:00,Y, , ,1, , 64601,4,"LARCENY-FROM MTR VEH $500 - $24,999",1317,WASHINGTON AVE,36, , ,1317,WASHINGTON,906240.7,1019290
18-037437,2018-08,07/06/2016 17:30,Y, , ,1, , 69702,3,LARCENY-ALL OTHER UNDER $500,2111,CHEROKEE ST,18, , ,2111,CHEROKEE,899519.1,1004947
18-036729,2018-08,07/06/2018 16:02,Y, , ,1, ,117000,2,FAILURE TO RETURN BORROWED/RENTED VEHICL,3260,S KINGSHIGHWAY BLVD,15,@ENTERPRISE, ,3260,KINGSHIGHWAY,886068.4,1007486
18-036501,2018-08,07/07/2018 11:00,Y, , ,1, , 65701,3,LARCENY-MTR VEH PARTS UNDER $500,4007,NEBRASKA AVE,16,MARQUETTE AUTO SERVICE, ,4007,NEBRASKA,896021.3,1001292
18-039886,2018-08,07/09/2018 07:30,Y, , ,1, ,204100,2,FAMILY & CHILD CRIME-ENDANGR WELF CHILD,6457,PLATEAU AVE,42,SMALL NATION DAYCARE, ,6457,PLATEAU,878466.6,1015823
18-040343,2018-08,07/09/2018 18:00,Y, , ,1, ,266999,3,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,2840,PARK AVE,31, , ,2840,PARK,898360.1,1014293
18-031659,2018-08,07/10/2018 09:00,Y, , ,1, , 43016,6,ASSLT-AGGRAV-OTH-WPN-3RD-ADULT-DOMESTIC,4744,ANDERSON AVE,69, , ,1549,CARR,894361.1,1036596
18-036289,2018-08,07/10/2018 13:00,Y, , ,1, , 67601,5,"LARCENY-FROM BUILDING $500 - $24,999",4910,MAFFITT PL,55, , ,4910,MAFFITT,890294.1,1032370
18-039016,2018-08,07/10/2018 18:49,Y, , ,1, ,266999,1,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,509,BATES ST,1,7-ELEVEN, ,509,BATES,892681.9,994561.8
18-036463,2018-08,07/11/2018 02:10,Y, , ,1, ,266999,4,PUBLIC ORDER-OTHR UNSPC PBLC ORDER VIOLATION,1722,N 22ND ST,60,NUISANCE ABATEMENT PROPERTY, ,1722,22ND,903821.8,1024231
18-041100,2018-08,07/11/2018 10:45,Y, , ,1, ,101000,4,FORGERY,710,OLIVE ST,35, ,@FIRST BANK - OLIVE,710,OLIVE,908293.4,1017743
18-036442,2018-08,07/11/2018 12:00,Y, , ,1, ,115100,6,FRAUD-STEALING BY DECEIT/OVER $150,8101,N BROADWAY,74,CREATIONS BY KAREN FLOWERS, ,8101,BROADWAY,897068.6,1047665
18-031909,2018-08,07/11/2018 15:25,Y, , ,1, ,130000,5,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET",1307,GOODFELLOW BLVD,78, , , , ,882147.4,1031905
18-031913,2018-08,07/11/2018 18:15, , , ,1, , 44012,6,"AGG.ASSAULT-HNDS,FST,FEET/CTZEN ADLT 2ND DEGRE",4130,NATURAL BRIDGE,56,AUTO ZONE, ,4130,NATURAL BRIDGE,0,0
18-031913,2018-08,07/11/2018 18:15, , , ,-1, , 91113,6,SIMPLE ASSAULT-ADULT/NO INJURY,4130,NATURAL BRIDGE,56,AUTO ZONE, ,4130,NATURAL BRIDGE,0,0
18-036005,2018-08,07/11/2018 18:35,Y, , ,1, , 52322,4,BURGLARY-BUSINESS/UNK TIME/UNLAW ENT/UNOCCUPIE,2543,N GRAND BLVD,59,BOULEVARD, ,2543,GRAND,899361.5,1026965
